label,latitude,longitude,riverName,stationReference,town,town_name
Denton Holme,54.885739,-2.937513,River Caldew,765045,Carlisle,Carlisle
"Botcherby Bridge, Carlisle",54.89341,-2.910796,River Petteril,764070,"Botcherby, Carlisle",Carlisle
"Sands Centre, Carlisle",54.898639,-2.932277,River Eden,762600,"Sands Centre, Carlisle",Carlisle
Linstock,54.912827,-2.893015,River Eden,762540,Linstock,Carlisle
Cummersdale,54.865626,-2.944447,River Caldew,765013,Cummersdale,Carlisle
Harraby Green Business Park,54.879957,-2.917974,River Petteril,764010,Harraby Green Carlisle,Carlisle
Melbourne Park Carlisle,54.889748,-2.913769,River Petteril,764020,Melbourne Park Carlisle,Carlisle
Skew Bridge,54.891143,-2.9382,River Caldew,765090,Skew Bridge   Carlisle,Carlisle
Sheepmount,54.90486,-2.952852,River Eden,765512,Carlisle,Carlisle
Newbiggin Bridge,54.853151,-2.881322,River Petteril,764050,Carleton,Carlisle
Durranhill PS,54.896411,-2.902412,,764115,,Carlisle
Eastern Way,54.893717,-2.899655,,764120,,Carlisle
Little Caldew Maltings,54.897638,-2.946631,Little Caldew,765100,Carlisle,Carlisle
Carlisle Raffles Avenue,54.892374,-2.963486,Parham Beck,765600,Carlisle,Carlisle
Durranhill Pumping Station,54.896411,-2.902412,Durranhill Beck,764117,Carlisle,Carlisle
Chesterfield Tapton Bridge,53.239901,-1.420925,River Rother,L0204,Chesterfield,Chesterfield
Chesterfield Park Road Bridge,53.232965,-1.430996,River Hipper,L0233,Chesterfield,Chesterfield
Hady Hill,53.233706,-1.418671,River Rother,L0206,Chesterfield,Chesterfield
Chesterfield,53.231179,-1.454659,River Hipper,L0235,Walton,Chesterfield
Chesterfield Ashgate,53.242734,-1.453673,Holme Brook,L02203,,Chesterfield
Chesterfield St Augustines,53.225424,-1.425584,River Rother,L0207,,Chesterfield
Chesterfield Avenue Washlands,53.21244,-1.420921,River Rother,L0208,Chesterfield Avenue Washlands,Chesterfield
Chesterfield Calow Lane,53.225038,-1.398178,Calow Brook,L0245,Chesterfield Calow Lane,Chesterfield
Limekilns,50.690882,-3.496147,Exminster Marshes,45126,Exminster,Exeter
Cowley Bridge,50.759747,-3.559651,River Creedy,45117,Cowley,Exeter
Trews Weir,50.716251,-3.527368,River Exe,45128,Exeter,Exeter
Exeter Pynes Stafford Bridge,50.75649,-3.529203,River Exe,E71313,,Exeter
EXETER COUNTESS WEAR WARING BOWEN COURT,50.701413,-3.50311,,E84283,,Exeter
Exeter Alphington Mill Lane,50.702201,-3.537179,Alphin Brook,E84263,,Exeter
